timestamp_iso,temperature_C,humidity_%
2025-06-06T12:22:31,23.2,45.4
2025-06-06T12:22:33,23.2,45.5
2025-06-06T12:22:35,23.2,45.5
2025-06-06T12:22:38,23.2,45.6
2025-06-06T12:22:40,23.2,45.6
2025-06-06T12:22:42,23.2,45.6
2025-06-06T12:22:44,23.2,45.6
2025-06-06T12:22:46,23.1,45.6
2025-06-06T12:22:48,23.1,45.6
2025-06-06T12:22:50,23.1,45.6
2025-06-06T12:22:52,23.1,45.6
2025-06-06T12:22:54,23.1,45.5
2025-06-06T12:22:57,23.1,45.4
2025-06-06T12:22:59,23.1,45.4
2025-06-06T12:23:01,23.1,45.4
2025-06-06T12:23:03,23.1,45.4
2025-06-06T12:23:05,23.1,45.4
2025-06-06T12:23:07,23.1,45.5
2025-06-06T12:23:09,23.1,45.4
2025-06-06T12:23:11,23.1,45.4
2025-06-06T12:23:13,23.1,45.4
2025-06-06T12:23:15,23.1,45.4
2025-06-06T12:23:18,23.1,45.5
2025-06-06T12:23:20,23.1,45.5
2025-06-06T12:23:22,23.1,45.5
2025-06-06T12:23:24,23.1,45.5
2025-06-06T12:23:26,23.1,45.4
2025-06-06T12:23:28,23.1,45.5
2025-06-06T12:23:30,23.1,45.5
2025-06-06T12:23:32,23.1,45.5
2025-06-06T12:23:34,23.1,45.5
2025-06-06T12:23:37,23.1,45.5
2025-06-06T12:23:39,23.1,45.5
2025-06-06T12:23:41,23.1,45.5
2025-06-06T12:23:43,23.1,45.5
2025-06-06T12:23:45,23.1,45.5
2025-06-06T12:23:47,23.1,45.6
2025-06-06T12:23:49,23.1,45.6
2025-06-06T12:23:51,23.1,45.6
2025-06-06T12:23:53,23.1,45.6
2025-06-06T12:23:55,23.1,45.6
2025-06-06T12:23:58,23.1,45.6
2025-06-06T12:24:00,23.1,45.7
2025-06-06T12:24:02,23.1,45.7
2025-06-06T12:24:04,23.1,45.7
2025-06-06T12:24:06,23.1,45.7
2025-06-06T12:24:08,23.1,45.6
2025-06-06T12:24:10,23.1,45.6
2025-06-06T12:24:12,23.1,45.7
2025-06-06T12:24:14,23.1,45.6
2025-06-06T12:24:16,23.1,45.6
2025-06-06T12:24:19,23.1,45.6
2025-06-06T12:24:21,23.1,45.6
2025-06-06T12:24:23,23.1,45.6
2025-06-06T12:24:25,23.1,45.6
2025-06-06T12:24:27,23.1,45.5
2025-06-06T12:24:29,23.1,45.5
2025-06-06T12:24:31,23.1,45.5
2025-06-06T12:24:33,23.1,45.5
2025-06-06T12:24:35,23.1,45.4
2025-06-06T12:24:38,23.1,45.3
2025-06-06T12:24:40,23.1,45.3
2025-06-06T12:24:42,23.1,45.3
2025-06-06T12:24:44,23.1,45.3
2025-06-06T12:24:46,23.1,45.3
2025-06-06T12:24:48,23.1,45.4
2025-06-06T12:24:50,23.1,45.4
2025-06-06T12:24:52,23.1,45.5
2025-06-06T12:24:54,23.1,45.5
2025-06-06T12:24:56,23.1,45.5
2025-06-06T12:24:59,23.1,45.6
2025-06-06T12:25:01,23.1,45.6
2025-06-06T12:25:03,23.1,45.6
2025-06-06T12:25:05,23.1,45.6
2025-06-06T12:25:07,23.1,45.6
2025-06-06T12:25:09,23.1,45.6
2025-06-06T12:25:11,23.1,45.6
2025-06-06T12:25:13,23.1,45.6
2025-06-06T12:27:53,23.1,45.8
2025-06-06T12:27:55,23.1,45.9
2025-06-06T12:27:57,23.1,45.9
2025-06-06T12:27:59,23.0,45.9
2025-06-06T12:28:01,23.1,46.0
2025-06-06T12:28:03,23.1,46.0
2025-06-06T12:28:05,23.1,46.0
2025-06-06T12:28:07,23.1,46.0
2025-06-06T12:28:09,23.0,46.0
2025-06-06T12:28:12,23.1,45.9
2025-06-06T12:28:14,23.1,45.9
2025-06-06T12:28:16,23.1,45.8
2025-06-06T12:28:18,23.1,45.8
2025-06-06T12:28:20,23.1,45.7
2025-06-06T12:28:22,23.1,45.7
2025-06-06T12:28:24,23.1,45.8
2025-06-06T12:28:26,23.0,45.8
2025-06-06T12:28:28,23.0,45.8
2025-06-06T12:28:30,23.0,45.8
2025-06-06T12:28:33,23.0,45.8
2025-06-06T12:28:35,23.0,45.8
2025-06-06T12:28:37,23.0,45.9
